chinese,frequency,pinyin,posseg
臺灣成人,3,tai2-wan1-cheng2-ren2,nz
體育報,18,ti3-yu4-bao4,n
塔諾河,2,ta3-nuo4-he2,ns
謄印社,3,teng2-yin4-she4,n
鐵彈,3,tie3-dan4,n
藤本植物,37,teng2-ben3-zhi2-wu4,l
挑三豁四,3,tiao1-san1-huo1-si4,t
塘村,3,tang2-cun1,ns
湯加減,3,tang1-jia1-jian3,nz
荼毒生靈,3,tu2-du2-sheng1-ling2,v
圖財害命,3,tu2-cai2-hai4-ming4,i
圖例查詢,3,tu2-li4-cha2-xun2,n
談均田,2,tan2-jun1-tian2,nr
透下去,3,tou4-xia4-qu4,v
堂倌,39,tang2-guan1,n
唐叔虞,8,tang2-shu1-yu2,nr
天高氣爽,7,tian1-gao1-qi4-shuang3,i
統建,3,tong3-jian4,v
泰始,39,tai4-shi3,nz
提進,3,ti2-jin4,v
特效字,3,te4-xiao4-zi4,n
談戀愛,181,tan2-lian4-ai4,v
陶叔蔚,4,tao2-shu1-wei4,nr
投卵擊石,3,tou2-luan3-ji1-shi2,n
亭子,232,ting2-zi,n
唐廷優,2,tang2-ting2-you1,nr
填街塞巷,2,tian2-jie1-sai1-xiang4,nz
圖錐體,3,tu2-zhui1-ti3,n
鐵輪飛,2,tie3-lun2-fei1,nr
體酶類,3,ti3-mei2-lei4,n
透光率,3,tou4-guang1-lv4,n
停辛佇苦,3,ting2-xin1-zhu4-ku3,z
鐵船,6,tie3-chuan2,n
踢腳線,3,ti1-jiao3-xian4,n
天命攸歸,3,tian1-ming4-you1-gui1,i
投閒置敬,3,tou2-xian2-zhi4-jing4,i
太英明,2,tai4-ying1-ming2,nr
偷歡,3,tou1-huan1,v
涕泗滂沲,3,ti4-si4-pang1-tuo2,z
碳塑,3,tan4-su4,n
討價還價,185,tao3-jia4-hai2-jia4,i
滔天,51,tao1-tian1,z
譚小培,2,tan2-xiao3-pei2,nr
譚晶華,4,tan2-jing1-hua2,nr
拖金委紫,3,tuo1-jin1-wei3-zi3,n
挑選出,3,tiao1-xuan3-chu1,l
態度矜持,3,tai4-du4-jin1-chi2,vn
脫產學習,3,tuo1-chan3-xue2-xi2,n
天威者,3,tian1-wei1-zhe3,n
塗機,2,tu2-ji1,n
貪汙盜竊,3,tan1-wu1-dao4-qie4,n
推諉的人,3,tui1-wei3-de-ren2,nz
痰喘,3,tan2-chuan3,nz
土糞,3,tu3-fen4,n
糖果,276,tang2-guo3,n
天倫,13,tian1-lun2,ns
銅精礦,3,tong2-jing1-kuang4,n
徒駭河,4,tu2-hai4-he2,i
吐屬,3,tu3-shu3,n
體,41,ti3,zg
天搖地動,12,tian1-yao2-de-dong4,i
退職金,3,tui4-zhi2-jin1,l
鐵掌,335,tie3-zhang3,n
塔爾迪,3,ta3-er3-di2,nr
頭等票,3,tou2-deng3-piao4,n
臺盟,28,tai2-meng2,ns
天圖,6,tian1-tu2,n
脫袍退位,3,tuo1-pao2-tui4-wei4,i
甜頭,99,tian2-tou2,n
套來套去,3,tao4-lai2-tao4-qu4,v
頭漲,3,tou2-zhang3,v
鐵娘子,3,tie3-niang2-zi,nr
吞下去,3,tun1-xia4-qu4,v
圖案矮籬,3,tu2-an4-ai3-li2,n
桃李不言,3,tao2-li3-bu4-yan2,i
體育教師,3,ti3-yu4-jiao4-shi1,n
堂本剛,3,tang2-ben3-gang1,d
太臣,2,tai4-chen2,n
痛責,25,tong4-ze2,v
痛苦萬分,3,tong4-ku3-wan4-fen1,i
土庫曼,66,tu3-ku4-man4,ns
透進來,3,tou4-jin4-lai2,l
土橋,5,tu3-qiao2,n
塔拉修克,2,ta3-la1-xiu1-ke4,nz
泰山移,3,tai4-shan1-yi2,nr
童貫入,2,tong2-guan4-ru4,nr
討論式,2,tao3-lun4-shi4,l
同位,3,tong2-wei4,n
同行同業,3,tong2-hang2-tong2-ye4,n
唐小岷,32,tang2-xiao3-min2,nr
投籃,232,tou2-lan2,n
徒刑,134,tu2-xing2,n
特拉西梅諾湖,4,te4-la1-xi1-mei2-nuo4-hu2,ns
莛,7,ting2,g
逃命要緊,3,tao2-ming4-yao4-jin3,n
通宵,286,tong1-xiao1,n
同車,3,tong2-che1,n
天蠍蝴蝶,3,tian1-xie1-hu2-die2,nr
塔裡,25,ta3-li3,nrt
陶駟駒,260,tao2-si4-ju1,nr
同素異性,3,tong2-su4-yi4-xing4,n
脫離現實,3,tuo1-li2-xian4-shi2,i
太空科學,3,tai4-kong1-ke1-xue2,nt
唐山站,3,tang2-shan1-zhan4,nr
通喃喃,2,tong1-nan2-nan2,n
禿寶蓋,3,tu1-bao3-gai4,n
唐翠沉,19,tang2-cui4-chen2,nr
退場,55,tui4-chang3,n
通大秦,3,tong1-da4-qin2,nr
通宵徹旦,3,tong1-xiao1-che4-dan4,i
屯積,25,tun2-ji1,n
土蜂,8,tu3-feng1,n
太平道,3,tai4-ping2-dao4,ns
臺服,3,tai2-fu2,n
透過,768,tou4-guo4,v
塔那那利佛,24,ta3-na4-na4-li4-fu2,nrt
退徙三舍,3,tui4-xi3-san1-she3,i
妥為,3,tuo3-wei4,v
脫空,4,tuo1-kong1,v
唐運張,2,tang2-yun4-zhang1,nr
凸起,143,tu1-qi3,v
停車難,3,ting2-che1-nan2,i
添補反應,3,tian1-bu3-fan3-ying1,l
疼人,3,teng2-ren2,n
太宗皇后,3,tai4-zong1-huang2-hou4,nr
淘洗,24,tao2-xi3,v
天生十幾,3,tian1-sheng1-shi2-ji3,l
毤,2,tuo4,zg
通路子,3,tong1-lu4-zi,l
泰山鄉,3,tai4-shan1-xiang1,ns
通電訊,3,tong1-dian4-xun4,nz
天音,3,tian1-yin1,n
