chinese,frequency,pinyin,posseg
三氧化硫,3,san1-yang3-hua4-liu2,nz
上漲率,12,shang4-zhang3-lv4,n
三義,8,san1-yi4,n
十七八段,2,shi2-qi1-ba1-duan4,m
私話,18,si1-hua4,n
沈劍虹,3,shen3-jian4-hong2,nr
三十八種,2,san1-shi2-ba1-zhong3,m
生而平等,3,sheng1-er2-ping2-deng3,l
社會感染,3,she4-hui4-gan3-ran3,l
生油層,7,sheng1-you2-ceng2,n
色度,16,se4-du4,n
食物鏈,87,shi2-wu4-lian4,n
深圳晚報,3,shen1-zhen4-wan3-bao4,n
刷下來,3,shua1-xia4-lai2,v
沈安,9,shen3-an1,ns
神經戰術,3,shen2-jing1-zhan4-shu4,n
掃祭,3,sao3-ji4,v
塞菲裡,2,sai1-fei1-li3,nrt
守正不回,3,shou3-zheng4-bu4-hui2,i
受有,3,shou4-you3,v
少蛋,2,shao3-dan4,n
四十多斤,2,si4-shi2-duo1-jin1,m
神兵神,2,shen2-bing1-shen2,n
神色異常,3,shen2-se4-yi4-chang2,l
薩里寧,8,sa4-li3-ning2,nr
省委常委,3,sheng3-wei3-chang2-wei3,j
斯卡爾法羅,6,si1-ka3-er3-fa3-luo2,nrt
施工進度,3,shi1-gong1-jin4-du4,n
桑給巴爾,94,sang1-gei3-ba1-er3,ns
三巷,3,san1-xiang4,nz
俗體,3,su2-ti3,n
三臡八菹,3,san1-ni2-ba1-zu1,nr
塾,47,shu2,n
申新各,2,shen1-xin1-ge4,nr
肅坐,3,su4-zuo4,v
身負,185,shen1-fu4,n
生花之筆,3,sheng1-hua1-zhi1-bi3,i
數字鐘,3,shu4-zi4-zhong1,n
施禮,253,shi1-li3,nr
薩特,72,sa4-te4,nr
刷卡機,7,shua1-ka3-ji1,n
實木,3,shi2-mu4,n
數萬隻,8,shu4-wan4-zhi1,m
邵煒剛,3,shao4-wei3-gang1,nr
上萬條,6,shang4-wan4-tiao2,m
商檢工作,3,shang1-jian3-gong1-zuo4,n
售罄,6,shou4-qing4,v
三賢人,3,san1-xian2-ren2,nr
身輕如燕,3,shen1-qing1-ru2-yan4,n
筍乾,41,sun3-qian2,n
生魚片,12,sheng1-yu2-pian4,n
上圖,26,shang4-tu2,v
瘦下去,3,shou4-xia4-qu4,l
首尾兩端,3,shou3-wei3-liang3-duan1,n
神魂飄蕩,13,shen2-hun2-piao1-dang4,i
實是,3,shi2-shi4,d
司憲中,2,si1-xian4-zhong1,nr
數字影像,3,shu4-zi4-ying3-xiang4,n
事故保險,3,shi4-gu4-bao3-xian3,n
殺身,38,sha1-shen1,v
十二樓,3,shi2-er4-lou2,nz
捨生忘死,60,she3-sheng1-wang4-si3,i
索多瑪,3,suo3-duo1-ma3,nr
身肩重任,3,shen1-jian1-zhong4-ren4,l
深圳市中級人民法院,125,shen1-zhen4-shi4-zhong1-ji2-ren2-min2-fa3-yuan4,nt
水成土,3,shui3-cheng2-tu3,n
上聯,58,shang4-lian2,ns
水彩畫,61,shui3-cai3-hua4,n
甩包袱,3,shuai3-bao1-fu2,n
釋去重負,3,shi4-qu4-zhong4-fu4,nr
申河均,3,shen1-he2-jun1,nr
蘇維埃政府,1175,su1-wei2-ai1-zheng4-fu3,nt
生態農業,3,sheng1-tai4-nong2-ye4,n
縮略詞,3,suo1-lve4-ci2,n
三隻手,12,san1-zhi1-shou3,i
勝券,13,sheng4-quan4,n
手勢,737,shou3-shi4,n
死物,19,si3-wu4,n
歲修,3,sui4-xiu1,n
師伐魏,4,shi1-fa2-wei4,nr
雙劍便,2,shuang1-jian4-bian4,nr
三截,3,san1-jie2,m
神魄,8,shen2-po4,n
生身父母,3,sheng1-shen1-fu4-mu3,l
順坡下驢,3,shun4-po1-xia4-lv2,l
收養,175,shou1-yang3,v
誓,1040,shi4,vg
順序進程,3,shun4-xu4-jin4-cheng2,l
上有老,11,shang4-you3-lao3,nr
熟料,2,shu2-liao4,n
鰓裂囊腫,3,sai1-lie4-nang2-zhong3,n
數百萬臺,2,shu4-bai3-wan4-tai2,m
食神,3,shi2-shen2,n
生生不息,39,sheng1-sheng1-bu4-xi1,l
食必方丈,3,shi2-bi4-fang1-zhang4,i
善御,3,shan4-yu4,v
申生,8,shen1-sheng1,v
審判大會,3,shen3-pan4-da4-hui4,n
雙江,16,shuang1-jiang1,ns
舒膚佳,3,shu1-fu1-jia1,nz
煽動者,3,shan1-dong4-zhe3,n
聖誕夜,3,sheng4-dan4-ye4,t
市場監管,3,shi4-chang3-jian1-guan3,n
庶神,3,shu4-shen2,n
聖勞倫斯,111,sheng4-lao2-lun2-si1,nrt
食品業者,3,shi2-pin3-ye4-zhe3,n
三廂車,3,san1-xiang1-che1,nz
扇火止沸,3,shan4-huo3-zhi3-fei4,i
鎩羽,14,sha1-yu3,v
獸心人面,3,shou4-xin1-ren2-mian4,n
使領館,154,shi3-ling3-guan3,n
十四載,19,shi2-si4-zai4,m
師大,318,shi1-da4,j
