chinese,frequency,pinyin,posseg
明叔聽,10,ming2-shu1-ting1,nr
美乳霜,3,mei3-ru3-shuang1,n
閩,848,min3,j
穆爾河,4,mu4-er3-he2,nr
木金土,2,mu4-jin1-tu3,n
夢碼,3,meng4-ma3,n
面相,125,mian4-xiang1,n
免騷擾,3,mian3-sao1-rao3,l
毛織品,34,mao2-zhi1-pin3,n
莽叢,3,mang3-cong2,n
忙中出錯,3,mang2-zhong1-chu1-cuo4,i
明顯可知,3,ming2-xian3-ke3-zhi1,i
目標目錄,6,mu4-biao1-mu4-lu4,n
每每如此,3,mei3-mei3-ru2-ci3,l
牧主,7,mu4-zhu3,n
美國科學院,78,mei3-guo2-ke1-xue2-yuan4,nt
米爾豪,5,mi3-er3-hao2,nr
彌足珍貴,30,mi2-zu2-zhen1-gui4,i
煤氣表,3,mei2-qi4-biao3,n
蒙卡達,2,meng2-ka3-da2,nr
明太祖,299,ming2-tai4-zu3,nr
民主選舉,3,min2-zhu3-xuan3-ju3,n
魔魂,3,mo2-hun2,n
美人香草,3,mei3-ren2-xiang1-cao3,nz
美參院,3,mei3-can1-yuan4,nt
馬切納,2,ma3-qie4-na4,nr
母熊,3,mu3-xiong2,n
帓,57,mo4,zg
謾天昧地,3,man2-tian1-mei4-de,n
明辰敬,2,ming2-chen2-jing4,nr
穆拉德,15,mu4-la1-de2,nrt
模,1046,mo2,n
磨砂膏,2,mo2-sha1-gao1,n
明政,3,ming2-zheng4,nr
糜軀碎首,3,mi2-qu1-sui4-shou3,nr
毛穆之,2,mao2-mu4-zhi1,nr
摸金校尉,405,mo1-jin1-xiao4-wei4,n
米粉,1336,mi3-fen3,nr
蒙迪,23,meng2-di2,nz
慕大俠,2,mu4-da4-xia2,nr
木大俠,2,mu4-da4-xia2,nr
沒關,3,mei2-guan1,v
馬騰之,2,ma3-teng2-zhi1,nr
麻,1772,ma2,nr
毛東珠,37,mao2-dong1-zhu1,nr
妙高臺,7,miao4-gao1-tai2,nr
魅人,3,mei4-ren2,n
馬良斯,3,ma3-liang2-si1,nr
曼秀雷敦,3,man4-xiu4-lei2-dun1,nr
命令句,3,ming4-ling4-ju4,n
馬伯樂,2,ma3-bo2-le4,nr
米橫野,7,mi3-heng2-ye3,nr
眉尖,20,mei2-jian1,n
猛回頭,3,meng3-hui2-tou2,n
米克,7,mi3-ke4,nrt
