chinese,frequency,pinyin,posseg
妝奩,68,zhuang1-lian2,n
子恭道,2,zi-gong1-dao4,nr
轉讓款,12,zhuan3-rang4-kuan3,n
葬送前途,3,zang4-song4-qian2-tu2,i
爭雄記,3,zheng1-xiong2-ji4,n
張榮發,5,zhang1-rong2-fa1,nr
咒心,3,zhou4-xin1,n
直崗拉卡,3,zhi2-gang3-la1-ka3,ns
紙製品,16,zhi3-zhi4-pin3,n
遮雨,3,zhe1-yu3,v
子獻公,2,zi-xian4-gong1,nr
支宿衛,2,zhi1-su4-wei4,nr
專業隊伍,3,zhuan1-ye4-dui4-wu3,n
職教司,3,zhi2-jiao4-si1,n
中德關係,3,zhong1-de2-guan1-xi4,nt
周潤發,6,zhou1-run4-fa1,nr
芝加哥商品交易所,2,zhi1-jia1-ge1-shang1-pin3-jiao1-yi4-suo3,nt
長臂猿,52,zhang3-bi4-yuan2,n
走遠路,3,zou3-yuan3-lu4,n
諸君,128,zhu1-jun1,nr
周指周,2,zhou1-zhi3-zhou1,nr
莊重文,2,zhuang1-chong2-wen2,nr
趙忻城,2,zhao4-xin1-cheng2,nr
雜貸,3,za2-dai4,n
忠順,11,zhong1-shun4,a
摺疊窗,3,zhe2-die2-chuang1,n
柱塞泵,3,zhu4-sai1-beng4,nz
中國音樂著作權協會,3,zhong1-guo2-yin1-le4-zhe-zuo4-quan2-xie2-hui4,n
趙安開,3,zhao4-an1-kai1,nr
準備考,3,zhun3-bei4-kao3,n
再孕婦,3,zai4-yun4-fu4,n
自毀,41,zi4-hui3,v
政清人和,3,zheng4-qing1-ren2-he2,n
紫藤花,3,zi3-teng2-hua1,nr
戰役學,19,zhan4-yi4-xue2,n
止水條,3,zhi3-shui3-tiao2,n
造詞,3,zao4-ci2,n
致病,279,zhi4-bing4,v
遭搶,3,zao1-qiang3,v
之法,3,zhi1-fa3,r
主樞紐,3,zhu3-shu1-niu3,n
鑄造製品,3,zhu4-zao4-zhi4-pin3,n
真空技術,3,zhen1-kong1-ji4-shu4,n
指完,3,zhi3-wan2,v
紙包,87,zhi3-bao1,n
只爭旦夕,3,zhi3-zheng1-dan4-xi1,i
自查自糾,22,zi4-cha2-zi4-jiu1,l
至死不悟,5,zhi4-si3-bu4-wu4,i
周族,9,zhou1-zu2,nz
張鴻墀,3,zhang1-hong2-chi2,nr
長濱,8,zhang3-bin1,ns
張道源,3,zhang1-dao4-yuan2,nr
重於,130,zhong4-yu2,v
張寶軍,4,zhang1-bao3-jun1,nr
再者,185,zai4-zhe3,c
子文士,2,zi-wen2-shi4,nr
重慶火鍋,3,zhong4-qing4-huo3-guo1,n
長江後浪推前浪,14,zhang3-jiang1-hou4-lang4-tui1-qian2-lang4,l
重氣狥名,3,zhong4-qi4-xun4-ming2,vn
張翼解,2,zhang1-yi4-jie3,nr
