chinese,frequency,pinyin,posseg
谷主嘆,2,gu3-zhu3-tan4,nr
貴少賤老,3,gui4-shao3-jian4-lao3,i
工藝製作,2,gong1-yi4-zhi4-zuo4,l
癸,285,gui3,zg
國際航班,3,guo2-ji4-hang2-ban1,nz
共價,15,gong4-jia4,n
鈷藍色,3,gu3-lan2-se4,n
甘露,147,gan1-lu4,v
顧秉謙,19,gu4-bing3-qian1,nr
趕趟,22,gan3-tang4,v
過家家,17,guo4-jia1-jia1,n
國士相,2,guo2-shi4-xiang1,nr
戈謝病,3,ge1-xie4-bing4,nr
根腳,4,gen1-jiao3,n
廣州賓館,3,guang3-zhou1-bin1-guan3,ns
缸磚,3,gang1-zhuan1,n
國際禁毒日,2,guo2-ji4-jin4-du2-ri4,nz
甘寶寶,48,gan1-bao3-bao3,nr
國色,10,guo2-se4,n
鬼泣,3,gui3-qi4,v
桂平,18,gui4-ping2,nr
幹部團,5,gan4-bu4-tuan2,n
關渡,3,guan1-du4,v
光彩耀眼,3,guang1-cai3-yao4-yan3,i
官徵賦,2,guan1-zheng1-fu4,nr
孤文斷句,3,gu1-wen2-duan4-ju4,i
關照,334,guan1-zhao4,p
孤行己意,3,gu1-xing2-ji3-yi4,i
宮主位,2,gong1-zhu3-wei4,n
工作桌,3,gong1-zuo4-zhuo1,n
哥德巴赫猜想,32,ge1-de2-ba1-he4-cai1-xiang3,nz
工量具,3,gong1-liang2-ju4,n
格爾峰,2,ge2-er3-feng1,nr
根長,2,gen1-zhang3,n
貢方,2,gong4-fang1,n
過秤,9,guo4-cheng4,n
古長堤,256,gu3-zhang3-di1,nr
管制中心,2,guan3-zhi4-zhong1-xin1,l
孤力,7,gu1-li4,n
歌決,3,ge1-jue2,v
觀察使,56,guan1-cha2-shi3,n
國朝,3,guo2-chao2,t
顧雙鳳,28,gu4-shuang1-feng4,nr
改向,47,gai3-xiang4,v
國朝文,4,guo2-chao2-wen2,nr
國民黨中常委,4,guo2-min2-dang3-zhong1-chang2-wei3,nt
果綠,3,guo3-lv4,n
跟你走,3,gen1-ni3-zou3,n
高麗軍,4,gao1-li4-jun1,nr
幹完,63,gan4-wan2,v
古典派,3,gu3-dian3-pai4,nr
廣為傳頌,2,guang3-wei4-chuan2-song4,nr
甘石星,2,gan1-shi2-xing1,nr
擱下,3,ge1-xia4,v
貴所,3,gui4-suo3,n
共擴散,3,gong4-kuo4-san4,j
果園鎮,4,guo3-yuan2-zhen4,nr
觀光區,3,guan1-guang1-qu1,n
幹吼,3,gan4-hou3,v
格蘭傑,2,ge2-lan2-jie2,nr
孤兒消息,3,gu1-er2-xiao1-xi1,l
光軸,3,guang1-zhou2,n
國際玉米小麥改良中心,2,guo2-ji4-yu4-mi3-xiao3-mai4-gai3-liang2-zhong1-xin1,i
規矩準繩,3,gui1-ju3-zhun3-sheng2,nz
關文捧,2,guan1-wen2-peng3,nr
剛試,3,gang1-shi4,n
廣播局,14,guang3-bo1-ju2,nt
癸亥,8,gui3-hai4,m
甘薯,217,gan1-shu3,n
槁,28,gao3,g
龔祖同,2,gong1-zu3-tong2,nr
古比雪夫,14,gu3-bi3-xue3-fu1,nr
耿雲志,4,geng3-yun2-zhi4,nr
國教派,3,guo2-jiao4-pai4,n
鬼船,3,gui3-chuan2,n
谷主笑,2,gu3-zhu3-xiao4,nr
改任,188,gai3-ren4,v
高一化學,3,gao1-yi1-hua4-xue2,l
慣犯,7,guan4-fan4,n
供需失調,3,gong1-xu1-shi1-diao4,l
工部,1768,gong1-bu4,n
桂北,14,gui4-bei3,ns
滾翻,23,gun3-fan1,v
夠低,3,gou4-di1,a
灌溉網,7,guan4-gai4-wang3,n
供售,3,gong1-shou4,vn
趕來趕去,3,gan3-lai2-gan3-qu4,i
高築,3,gao1-zhu4,n
古兒,2,gu3-er2,t
郭襄揮,2,guo1-xiang1-hui1,nr
硅膠胸罩,3,gui1-jiao1-xiong1-zhao4,n
高斯,187,gao1-si1,nr
高職生,12,gao1-zhi2-sheng1,nr
公曉,2,gong1-xiao3,t
古觀象臺,15,gu3-guan1-xiang4-tai2,n
鼓風管,3,gu3-feng1-guan3,n
工藝,2692,gong1-yi4,n
狗牙,10,gou3-ya2,n
剛果河,122,gang1-guo3-he2,ns
刮板,12,gua1-ban3,n
改置,3,gai3-zhi4,v
過江之鯽,8,guo4-jiang1-zhi1-zei2,i
