chinese,frequency,pinyin,posseg
稟報,1156,bing3-bao4,v
標準網,3,biao1-zhun3-wang3,n
半路,347,ban4-lu4,m
百喙如一,3,bai3-hui4-ru2-yi1,v
北達科他,3,bei3-da2-ke1-ta1,ns
碧綠,226,bi4-lv4,z
北伐軍,356,bei3-fa2-jun1,nr
北九州,31,bei3-jiu3-zhou1,nr
白明川,64,bai2-ming2-chuan1,nr
鮑國寶,2,bao4-guo2-bao3,nr
白英子,19,bai2-ying1-zi,nr
北京師範大學歷史系,7,bei3-jing1-shi1-fan4-da4-xue2-li4-shi3-xi4,nt
芭蕾舞,97,ba1-lei3-wu3,n
保衛組,3,bao3-wei4-zu3,n
辦不成,3,ban4-bu4-cheng2,v
北橫公路,3,bei3-heng2-gong1-lu4,n
扮起,3,ban4-qi3,v
