chinese,frequency,pinyin,posseg
謝儀,5,xie4-yi2,nr
習性學,3,xi2-xing4-xue2,n
小禮拜堂,3,xiao3-li3-bai4-tang2,nr
玄蔘,26,xuan2-shen1,nr
下禮,3,xia4-li3,v
戲臺,202,xi4-tai2,n
新化縣,5,xin1-hua4-xian4,ns
羞態,3,xiu1-tai4,n
險韻,3,xian3-yun4,a
細胞週期,3,xi4-bao1-zhou1-qi1,n
選自,3,xuan3-zi4,v
小批量,3,xiao3-pi1-liang4,n
宣懷愧,2,xuan1-huai2-kui4,nr
新星,101,xin1-xing1,nz
熏腐之餘,3,xun1-fu3-zhi1-yu2,n
西洋梨,3,xi1-yang2-li2,nr
溴酸鹽,3,xiu4-suan1-yan2,nz
相扣,2,xiang1-kou4,v
需款,3,xu1-kuan3,n
胸懷,215,xiong1-huai2,n
希爾斯,10,xi1-er3-si1,nrt
銷售一空,15,xiao1-shou4-yi1-kong1,n
喜新厭舊,26,xi3-xin1-yan4-jiu4,i
想一想,3,xiang3-yi1-xiang3,i
需方,3,xu1-fang1,n
刑事案件,3,xing2-shi4-an4-jian4,n
小笠,15,xiao3-li4,n
行凶作惡,3,xing2-xiong1-zuo4-e4,i
向櫺星,3,xiang4-ling2-xing1,nr
謝獅王,11,xie4-shi1-wang2,nr
諧謔曲,3,xie2-xue4-qu1,z
行不勝衣,3,xing2-bu4-sheng4-yi1,i
玄德曰,2,xuan2-de2-yue1,nr
杏腮桃臉,3,xing4-sai1-tao2-lian3,l
析辨詭辭,3,xi1-bian4-gui3-ci2,nr
雄性,373,xiong2-xing4,n
性情柔順,3,xing4-qing2-rou2-shun4,i
矽線石,7,xi4-xian4-shi2,n
銜悲茹恨,3,xian2-bei1-ru2-hen4,i
鮮于通,47,xian1-yu2-tong1,nr
續補成,2,xu4-bu3-cheng2,nr
先覺,11,xian1-jue2,n
犀角,52,xi1-jiao3,n
夏正方,3,xia4-zheng4-fang1,nr
相互,5664,xiang1-hu4,d
西經,146,xi1-jing1,n
蟹,802,xie4,ng
信託投資公司,25,xin4-tuo1-tou2-zi1-gong1-si1,nt
興滅繼絕,3,xing4-mie4-ji4-jue2,i
刑統,2,xing2-tong3,n
囂張氣焰,286,xiao1-zhang1-qi4-yan4,l
息眉,3,xi1-mei2,n
新龍門,3,xin1-long2-men2,ns
相位階躍,3,xiang4-wei4-jie1-yue4,l
緒方,3,xu4-fang1,n
馴良,25,xun2-liang2,a
溪畔,18,xi1-pan4,n
西青,3,xi1-qing1,nr
玄奘寺,2,xuan2-zang4-si4,nr
小金,47,xiao3-jin1,n
栒,2,xun2,zg
錫伯,73,xi1-bo2,ns
詳星拜斗,3,xiang2-xing1-bai4-dou4,n
西南航空,16,xi1-nan2-hang2-kong1,nt
徐元瑞,2,xu2-yuan2-rui4,nr
血豆腐,9,xie3-dou4-fu3,n
雪條,3,xue3-tiao2,n
心品,2,xin1-pin3,n
小劑量,3,xiao3-ji4-liang4,n
香象絕流,3,xiang1-xiang4-jue2-liu2,l
