chinese,frequency,pinyin,posseg
鹿師傅,2,lu4-shi1-fu4,nr
陋規,7,lou4-gui1,n
兩百座,2,liang3-bai3-zuo4,m
魯,1594,lu3,nr
琳,695,lin2,nrt
靈透,3,ling2-tou4,a
老少,138,lao3-shao4,r
履行諾言,3,lv3-xing2-nuo4-yan2,n
戀屍癖,3,lian4-shi1-pi3,n
聊天站,3,liao2-tian1-zhan4,nz
雷斯福,2,lei2-si1-fu2,nr
六千塊,5,liu4-qian1-kuai4,m
籠籠統統,3,long2-long2-tong3-tong3,n
臘,635,la4,t
李慶華,15,li3-qing4-hua2,nr
林祥謙,10,lin2-xiang2-qian1,nr
勞費,3,lao2-fei4,vn
拉網,19,la1-wang3,nz
劉志青,2,liu2-zhi4-qing1,nr
斂,196,lian3,zg
李東垣,8,li3-dong1-yuan2,nr
硫化鋅,10,liu2-hua4-xin1,nz
靈臺縣,2,ling2-tai2-xian4,ns
淚花,207,lei4-hua1,n
李顯斌,5,li3-xian3-bin1,nr
冷凍,183,leng3-dong4,v
盧羨文,2,lu2-xian4-wen2,nr
賴興巴,6,lai4-xing4-ba1,nr
陸菲青,496,lu4-fei1-qing1,nr
拉施,2,la1-shi1,v
劉文剛,2,liu2-wen2-gang1,nr
老氣橫秋,36,lao3-qi4-heng2-qiu1,i
樂退安貧,3,le4-tui4-an1-pin2,i
聯合早報,3,lian2-he2-zao3-bao4,nt
劉玉勳,2,liu2-yu4-xun1,nr
拉烏爾,13,la1-wu1-er3,nrt
鋁桶,4,lv3-tong3,n
老鼠會,4,lao3-shu3-hui4,n
鹿清篤,119,lu4-qing1-du3,nr
路懷有,2,lu4-huai2-you3,nr
廖偉雄,3,liao4-wei3-xiong2,nr
廊廟,7,lang2-miao4,ns
劉少奇,1025,liu2-shao3-qi2,nr
聯結,334,lian2-jie2,v
歷山,13,li4-shan1,n
萊蕪戰役,22,lai2-wu2-zhan4-yi4,nz
流氓集團,3,liu2-mang2-ji2-tuan2,n
壟統,3,long3-tong3,n
練功區,3,lian4-gong1-qu1,n
六臂三頭,3,liu4-bi4-san1-tou2,i
賴秀英,18,lai4-xiu4-ying1,nr
領軍人,5,ling3-jun1-ren2,n
羅海瓊,3,luo2-hai3-qiong2,nr
領賞,32,ling3-shang3,v
李先念,961,li3-xian1-nian4,nr
