chinese,frequency,pinyin,posseg
怕苦怕累,3,pa4-ku3-pa4-lei4,z
彭愛萍,2,peng2-ai4-ping2,nr
朴子內,5,pu3-zi-nei4,nr
平糴,4,ping2-di2,nr
潘育傑,3,pan1-yu4-jie2,nr
平戰時,2,ping2-zhan4-shi2,n
平倉,14,ping2-cang1,nr
披露腹心,3,pi1-lu4-fu4-xin1,i
盤發,3,pan2-fa1,v
飄絮,3,piao1-xu4,n
賠償標準,3,pei2-chang2-biao1-zhun3,n
皮屑,19,pi2-xie4,n
羆,50,pi2,g
品竹彈絲,3,pin3-zhu2-dan4-si1,n
浦太守孟,2,pu3-tai4-shou3-meng4,nr
盤結,3,pan2-jie2,v
僻巷,4,pi4-xiang4,n
坯,139,pi1,n
平靖,3,ping2-jing4,t
仆倒,7,pu1-dao4,n
排列圖標,3,pai2-lie4-tu2-biao1,n
偏袒,121,pian1-tan3,v
樸樹,9,pu3-shu4,nr
翩翩年少,3,pian1-pian1-nian2-shao3,l
潘與林,4,pan1-yu3-lin2,nr
龐德,130,pang2-de2,nr
瀑布區,3,pu4-bu4-qu1,n
跑得快,3,pao3-de2-kuai4,l
炮鳳烹龍,3,pao4-feng4-peng1-long2,i
培基語言,3,pei2-ji1-yu3-yan2,n
埔里,3,pu3-li3,ns
皮爾巴,2,pi2-er3-ba1,nr
偏將,208,pian1-jiang1,d
拋起,3,pao1-qi3,v
破車,3,po4-che1,v
趴在,484,pa1-zai4,v
盤滿鉢滿,3,pan2-man3-bo1-man3,nr
趴著,3,pa1-zhe,v
批轉,21,pi1-zhuan3,v
漂去,3,piao4-qu4,v
炮隊,3,pao4-dui4,n
皮包公司,8,pi2-bao1-gong1-si1,n
浦圃斕,3,pu3-pu3-lan2,nr
平乃顏,2,ping2-nai3-yan2,nr
坪石,3,ping2-shi2,ns
普安縣,3,pu3-an1-xian4,ns
鋪,6811,pu4,v
篷卻,3,peng2-que4,n
譜下來,3,pu3-xia4-lai2,v
潘家珉,2,pan1-jia1-min2,nr
噴射船,2,pen1-she4-chuan2,n
跑冒滴漏,2,pao3-mao4-di1-lou4,n
破衲疏羹,3,po4-na4-shu1-geng1,n
平等主義,9,ping2-deng3-zhu3-yi4,n
庀,107,pi3,g
拍拖,6,pai1-tuo1,v
配貨站,3,pei4-huo4-zhan4,n
旁及,24,pang2-ji2,ns
怕疼,3,pa4-teng2,a
咆哮地,3,pao2-xiao1-de,l
批貨,3,pi1-huo4,n
貧嘴惡舌,3,pin2-zui3-e4-she2,i
盤繞在,3,pan2-rao4-zai4,nr
婆子,347,po2-zi,n
配鎖,3,pei4-suo3,vn
拍肩膀,3,pai1-jian1-bang3,n
蒲鞭示辱,3,pu2-bian1-shi4-ru3,n
平方,269,ping2-fang1,q
平綏路,2,ping2-sui1-lu4,nr
批註,17,pi1-zhu4,v
平月,3,ping2-yue4,t
平射炮,9,ping2-she4-pao4,n
蒲東巡,2,pu2-dong1-xun2,nr
平正,26,ping2-zheng4,nr
泡那裡,3,pao4-na4-li3,n
鋪排,43,pu4-pai2,v
撲嗤,3,pu1-chi1,o
婆羅門,139,po2-luo2-men2,ns
鋪展開,3,pu4-zhan3-kai1,n
犏,11,pian1,x
貧賤驕人,3,pin2-jian4-jiao1-ren2,i
平如鏡,5,ping2-ru2-jing4,l
胖女人,3,pang4-nv3-ren2,n
拼列,3,pin1-lie4,v
炮艦外交,3,pao4-jian4-wai4-jiao1,v
排下去,3,pai2-xia4-qu4,v
彭桓武,258,peng2-huan2-wu3,nr
評分,155,ping2-fen1,n
潑到,3,po1-dao4,v
葡萄酒節,2,pu2-tao2-jiu3-jie2,n
偏移量,3,pian1-yi2-liang4,n
賠了夫人,3,pei2-le-fu1-ren2,l
攀巖,37,pan1-yan2,ns
坡耕地,6,po1-geng1-di4,n
平地,574,ping2-di4,n
排距,3,pai2-ju4,v
賠笑臉,6,pei2-xiao4-lian3,l
攀蟾折桂,3,pan1-chan2-she2-gui4,v
葡國,9,pu2-guo2,ns
帕吉特,3,pa4-ji2-te4,nr
平等互惠,3,ping2-deng3-hu4-hui4,n
憑著,223,ping2-zhe,p
憑照,16,ping2-zhao4,p
平步青雲,23,ping2-bu4-qing1-yun2,nr
普通黨員,3,pu3-tong1-dang3-yuan2,n
平均主義,128,ping2-jun1-zhu3-yi4,n
普賴爾,5,pu3-lai4-er3,nr
皮桶子,3,pi2-tong3-zi,n
潘鼎新,4,pan1-ding3-xin1,nr
噴藥,7,pen1-yao4,n
碰壁,90,peng4-bi4,v
攀供,3,pan1-gong4,v
培育出,3,pei2-yu4-chu1,n
皮杜魯,2,pi2-du4-lu3,nr
剽掠,3,piao1-lve4,v
配電裝置,3,pei4-dian4-zhuang1-zhi4,n
叛徒,466,pan4-tu2,n
烹宰,3,peng1-zai3,v
平湖市,5,ping2-hu2-shi4,ns
排球比賽,3,pai2-qiu2-bi3-sai4,nz
噴粉器,3,pen1-fen3-qi4,nz
片酬,7,pian4-chou2,n
蓬頭厲齒,3,peng2-tou2-li4-chi3,i
霹靂舞,9,pi1-li4-wu3,n
頻寬,3,pin2-kuan1,n
彭布羅克,2,peng2-bu4-luo2-ke4,ns
披裘負薪,3,pi1-qiu2-fu4-xin1,i
皮包骨,2,pi2-bao1-gu3,n
譜上來,3,pu3-shang4-lai2,v
曝露,9,pu4-lu4,v
噴淋塔,3,pen1-lin2-ta3,nz
